Project: /root/B6_ORCA_campaign
Calculation root: /root/B6_ORCA_campaign/calculations/stage1
ORCA command: /root/ORCA_WORK/software/orca611_clean_test/orca_6_1_1_linux_x86-64_shared_openmpi418_nodmrg/orca
FAIL  2026-05-01 02:41:38 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.00_q0_m3_R2SCAN-3C/B6_linear_chain_d3.00_q0_m3_R2SCAN-3C.inp ; inspect /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.00_q0_m3_R2SCAN-3C/B6_linear_chain_d3.00_q0_m3_R2SCAN-3C.out and /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.00_q0_m3_R2SCAN-3C/B6_linear_chain_d3.00_q0_m3_R2SCAN-3C.err
START 2026-05-01 02:41:38 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.00_q0_m5_R2SCAN-3C/B6_linear_chain_d3.00_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 02:53:27 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.00_q0_m5_R2SCAN-3C/B6_linear_chain_d3.00_q0_m5_R2SCAN-3C.inp
START 2026-05-01 02:53:27 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m1_R2SCAN-3C/B6_linear_chain_d3.50_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 03:45:53 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m1_R2SCAN-3C/B6_linear_chain_d3.50_q0_m1_R2SCAN-3C.inp
START 2026-05-01 03:45:53 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m3_R2SCAN-3C/B6_linear_chain_d3.50_q0_m3_R2SCAN-3C.inp
FAIL  2026-05-01 05:14:27 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m3_R2SCAN-3C/B6_linear_chain_d3.50_q0_m3_R2SCAN-3C.inp ; inspect /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m3_R2SCAN-3C/B6_linear_chain_d3.50_q0_m3_R2SCAN-3C.out and /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m3_R2SCAN-3C/B6_linear_chain_d3.50_q0_m3_R2SCAN-3C.err
START 2026-05-01 05:14:27 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m5_R2SCAN-3C/B6_linear_chain_d3.50_q0_m5_R2SCAN-3C.inp
FAIL  2026-05-01 06:02:28 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m5_R2SCAN-3C/B6_linear_chain_d3.50_q0_m5_R2SCAN-3C.inp ; inspect /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m5_R2SCAN-3C/B6_linear_chain_d3.50_q0_m5_R2SCAN-3C.out and /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.50_q0_m5_R2SCAN-3C/B6_linear_chain_d3.50_q0_m5_R2SCAN-3C.err
START 2026-05-01 06:02:28 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.60_q0_m1_R2SCAN-3C/B6_octahedral_3d_d1.60_q0_m1_R2SCAN-3C.inp
