calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_random_3d_seed1001_d2.20_q0_m3_R2SCAN-3C,random_3d_seed1001,2.2,0,3,R2SCAN-3C,,-148.696205962395,1.28277705,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d2.20_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d2.20_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1003_d1.80_q0_m3_R2SCAN-3C,random_3d_seed1003,1.8,0,3,R2SCAN-3C,,-148.696205634308,1.28278598,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d1.80_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d1.80_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d1.80_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d1.80_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1003_d1.60_q0_m3_R2SCAN-3C,random_3d_seed1003,1.6,0,3,R2SCAN-3C,,-148.696205450883,1.28279097,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d1.60_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1003_d2.20_q0_m3_R2SCAN-3C,random_3d_seed1003,2.2,0,3,R2SCAN-3C,,-148.696205073701,1.28280123,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d2.20_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d2.20_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1003_d2.50_q0_m3_R2SCAN-3C,random_3d_seed1003,2.5,0,3,R2SCAN-3C,,-148.696204367462,1.28282045,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d2.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1003_d3.50_q0_m3_R2SCAN-3C,random_3d_seed1003,3.5,0,3,R2SCAN-3C,,-148.696202533710,1.28287035,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d3.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1003_d2.00_q0_m3_R2SCAN-3C,random_3d_seed1003,2.0,0,3,R2SCAN-3C,,-148.696202471532,1.28287204,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d2.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d2.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d2.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d2.00_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1001_d2.50_q0_m3_R2SCAN-3C,random_3d_seed1001,2.5,0,3,R2SCAN-3C,,-148.696202330841,1.28287587,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d2.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1001_d3.00_q0_m3_R2SCAN-3C,random_3d_seed1001,3.0,0,3,R2SCAN-3C,,-148.696202179011,1.28288000,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d3.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d3.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d3.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d3.00_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1002_d1.80_q0_m3_R2SCAN-3C,random_3d_seed1002,1.8,0,3,R2SCAN-3C,,-148.696187854784,1.28326978,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d1.80_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d1.80_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d1.80_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d1.80_q0_m3_R2SCAN-3C.out
