calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C,compact_planar_triangle,1.6,0,1,R2SCAN-3C,,-148.630568474199,3.06886410,True,True,,,,False,calculations/stage1/B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C.out
B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C,compact_planar_triangle,2.5,0,1,R2SCAN-3C,,-148.630568467114,3.06886429,True,True,,,,False,calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C.out
B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C,compact_planar_triangle,3.5,0,1,R2SCAN-3C,,-148.630568462979,3.06886440,True,True,,,,False,calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C.out
B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C,compact_planar_triangle,3.0,0,1,R2SCAN-3C,,-148.630568457852,3.06886454,True,True,,,,False,calculations/stage1/B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C.out
B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C,rectangular_planar,1.6,0,5,R2SCAN-3C,,-148.625550613103,3.20540705,True,True,,,,False,calculations/stage1/B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C/B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C/B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C.out
B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C,trigonal_prism,1.6,0,3,R2SCAN-3C,,-148.619398622796,3.37281124,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C.out
B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C,rectangular_planar,2.2,0,5,R2SCAN-3C,,-148.619051758148,3.38224990,True,True,,,,False,calculations/stage1/B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C/B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C/B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C.out
B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C,trigonal_prism,1.6,0,1,R2SCAN-3C,,-148.613129261351,3.54340925,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C.out
B6_linear_chain_d1.60_q0_m5_R2SCAN-3C,linear_chain,1.6,0,5,R2SCAN-3C,,-148.613021000821,3.54635517,True,True,,,,False,calculations/stage1/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C.out
B6_linear_chain_d2.20_q0_m5_R2SCAN-3C,linear_chain,2.2,0,5,R2SCAN-3C,,-148.613021000604,3.54635518,True,True,,,,False,calculations/stage1/B6_linear_chain_d2.20_q0_m5_R2SCAN-3C/B6_linear_chain_d2.20_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d2.20_q0_m5_R2SCAN-3C/B6_linear_chain_d2.20_q0_m5_R2SCAN-3C.out
